address,ath_mc,ath_token_symbol,ath_token_address,last_token_date,token_deployed,avg_tokens_per_day,avg_market_cap,median_market_cap,total_creator_fees,realized_pnl_usd,total_pnl_usd,winrate,launchpads_used
5VZhHfNmm7VyWneU3FfhWJC5pzQ1x7euiyVp4rLFHepw,6737.234,PUMPCRAFT,AY1itKxApZm5RDxybpBdHBKmChYMYJs1zEHryNFkSwk8,2026-03-22 0:26:57,316,2,2461.43,2466.34,0.121487,7018.29,6409.02,25.67,Pump.fun
GT53gvv6zezx9JBLbbsgom3SwE2jvDaDZHrKEySV6JQW,41723.456,.fun,2vYHxPz9x8MXZghW3emH9ABBfQRFcZRob2keS2HPpump,2026-03-22 6:42:07,315,2,2471.89,2468.82,5.386231,123488.82,123488.82,98.5,Pump.fun
79yG3z2PBtK4nnNZCnscnbk5Sb3wfKtZuGSToGjkpoUf,60860.19,PONG,9a84ETza3jsbwixxfm6tZcbMV9uDauSZ2FWE9DNqpump,2025-10-17 3:45:05,315,2,8715.6,6677.8,5.879666,-3663.77,-3671.86,3.45,"Pump.fun, letsbonk"
2VHc4naEUqNEncHhqxksbKqYSPGYuTJ3WunUZfe7YFAi,250895.06,superbowl,6S6eN5Xm5DvhRiYW5DSFtF6fbSubDoug7MiT1YpVpump,2026-03-20 22:17:54,314,2,2431.56,2414.67,115.961285,36284.04,36425.27,65.13,"Pump.fun, pump_agent"
DVZVbtDQuWztwS3s4sjLP8x5YoVr9jYrTz8rPBxCa6Fs,128659.259,Moha,8SSnaekiShG2JyWkh9nSBsbVndPtuPSxqWz8MSX1bonk,2025-10-22 1:42:11,314,2,5363.99,5424.32,2.163083,17674.86,17674.86,37.63,"Pump.fun, letsbonk"
vbXpsjNXdg57VatGKiYN1ZY4ffwqoumPzztCMnJCxd9,495312.53,Terra,FTnNunoFtCN7PtSt8ymcowjb7LTFiJ2FnhFoJ8dRjupx,2026-01-08 12:45:14,312,2,4253.38,4174.36,3.407287,79375.82,79374.7,32.1,"Pump.fun, bags, jup_studio, letsbonk"
3JwkJxvbC7hXHpRHEWLcGYQShCgCfAV7noxyhYdwb9vy,1596106.959,Pedos,8cQynx5ZaJKwdHsuXmSn3Y16RXta7ZTyTS1hW55Gpump,2026-03-20 13:49:52,312,2,2495.95,2445.52,303.671781,40724.25,40660.46,40.83,Pump.fun
CXJ19eWdFUSaUJvadMx11G6AVGuDdnJEbYxFfP37c77N,487574.46,Divine,6foHCPWczSq9uU3PCZqJeNdjP1ba6Qf6YmaZDSHtpump,2025-12-22 17:47:57,311,2,3935.17,3989.71,77.617666,1450.84,1450.84,18.29,"Pump.fun, letsbonk"
FM84XH1PgcSQzwEEWMsAj3AcBzGBvUVoQjQUwTR8LaM,9847.4271,DS,GsWthbDTp4DUri8u5wLJKsW4SV7ckpK4t5k7zWMtpump,2025-11-16 17:33:17,310,2,1671.55,0,0.359393,-283.81,-283.92,0,"Pump.fun, pump_mayhem"
GFA2t9fZVY3jC7wDBPDB8FdsVNzLWgK44J4q7XpP476a,2479773.348,paper,b37NMA81bSgVmC6E5TXyrUndRzwdYycxoLFsG3gpump,2026-03-01 20:19:09,310,2,3805.56,3650.59,4.48901,94101.78,94101.77,51.8,"Pump.fun, letsbonk"
JDFpaH2SeFKaKoc2VvzyZPArHRVJ5mUP3hpNuMjbBB8g,243890.0298,FROGFLAME,EoapWDugqYtD75oWKSnyUbtseN1CkV78FercFszpump,2025-11-26 14:49:27,309,2,4432.68,4077.5,2.021856,-2290.6,-2293.45,12.5,Pump.fun
