Account,Token Account,Quantity,Percentage
E2AVeteWKCpU9FQN3DR5BhdBwxWkiJq2gNEeBu485DGY,7ZuixrzfDmXFtDyGKNcx4sbRYGGVtg2JNmuhVUPKnRTr,2069824.107556875,0.21
7xmkzryK5cCVgpP2edMsQLpagzGaYtqaDMv2yjX3UjkP,JjU2pMjFeaYZWtMkb7h4YcA4vUgg32P1dof6YYPNBHa,2026502.770385317,0.20
5otEzoeBsC16tDoaG7DAYiLYrYWXpMst8Ndh7M4pZvv7,5cX4ykXZgpf8HuxV1errgoCjAUSGGoTw6pjvGGeRXPDq,2009524.633729215,0.20
FharjKT1eo7FRGBeGjBQzwaEVmuX4uM2aSBo2jSvAuR7,DZ7752VhVQdUTqv1va9toSzwhye4LHaXWjTqgVMira5J,1971364.112923687,0.20
BmeDexqLFGg1U2fWV5m8DkAwP86g7By3KWxVgYghxyZN,6FGux3bu7vX5cNSsp52cJU6zuvrYigVac74iwneLwskE,1840456.519872595,0.18
2Ez99U1PN3aCAQnhViqB4U56JFHCp3Pb5rLa6xeMhica,4rMsG2Vf9ZcNFZ2dW65FBc7Y4QN1HziWNCQWFSUGhUY6,1796422.666828478,0.18
73FhDiZhP6Lbnim9jEtv6iXd9a2MmuMpMTvfhQe9F48b,4dS9Fz7Fr5UGpg2Mw2i9sNrMuw7PBERBNMYcEBAchbHs,1757858.747370109,0.18
Bb7KMsF3tdpzKDmt69kDCEWRhSf12fYAVM1brVCmGc6n,2FgtEpzwX9hmsxUZowuBvGHXDRcWxoURyQpKmNcU98Bs,1693433.074921753,0.17
618BodongZ1vfGeyHcwTmca2CciWTbvRi937x6f81vGa,CDVkkjTKEEsrDY2v9Sk4uoBxFit9VsHuCtcuhvrcu8a,1583206.95040534,0.16
Epc7EXrmh6RASDLdzDmrLBS7rw1W3boA7kzMvY9yEmQw,5R5Kz5mhd14V6hWLStTmTThNhFthd3ERX1wfxRmx7TsR,1553751.419614885,0.16
GsjdBAWmfQS6Ftuoi8o2cs1MckPyMsm9MVCoWCkbhaa,CPG9zRpzHaE1VLkobWJmGS83zofdGN3W4NcMJyXsriJq,1525367.353735357,0.15
8nC3kTGr8Xtda7QpodAf5CZBse9sSuyfUHHYuiPZrdhP,6Aow8FHtzKDX2iiZxnEMzHPEDsQWPmjmxyaTQcWvMhrU,1523530.871171747,0.15
J7hXNmApEBpsip7onfEVStYdqoWYqjuUqazLpkztMsb8,LRwj3fsEpaiJpTkEiBM47NcV4yT6hvPVRaYf3b3hX88,1520983.069656743,0.15
4RRASvBY1UNABkCeY311xuLEGcPER1CNYTpVwtcGF2Yh,J6WM7apRyqEqJHb1sUKVurZtKdrz9YMfB53tuXGejuok,1520330.466597094,0.15
5YP8EMZVjkumQiVB9jHJgHzwZAERLzzofQHdN3Tge5Eu,33AjXLJGJKUqapWjfwZQnVqfURKZ6iUWyohnNEq6EuXq,1504222.169253014,0.15
7isBvagY7dQ2Yc2u4o4brBB5VXUaw7RDX4WU5JKWeocn,6TQqeKVzaVC3f6XyHxAXWngDsyYJZ4virXz76ReZUpuQ,1495961.364423673,0.15
63VYuWVjdL1oWusDr2zeCHEjAq6i1Mq5zyVgBncpD7ro,EDbW9W3DjoBS5NCZZjkmu9kGJt7weRrX5rPRHue7Q88k,1446406.48491677,0.14
LmtzQLhoH75nUDEHPoUVM8Uk9JCFvVKuc2g56ccd9MG,ARcKmCVQGNdbz1BFSY39TDtwuHV63AvAx5snx3wRbXgi,1440378.314712224,0.14
keZFWpVykCSSpt9P69m89JV9Now7MPB1uP84xTVCMVT,8qayF1Uj84UVy9zFrX1yMUYELHecAJ4eyQkJo4Y5AntP,1401084.794079649,0.14
6h1wNQc9pnmo3DfzLMtEpi2ZbJpjwcJvHtRLgwKfizEg,3xoPCvyKDFN1gpAAJEWy8gR73WsPFeXjVhxsU148NS9x,1347699.664575546,0.13
